date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:47	52069/52069	---MCZ	200	added ('OK')	text/html	etag:W/%22cb65-167406fa5b0%22	https://cellinfo.com/	C:/Cellinfo/Cellinfo/cellinfo.com/index.html	(from )
15:44:47	62/62	---M--	302	error ('Found')	text/html	date:Wed,%2013%20May%202020%2008:44:50%20GMT	https://cellinfo.com/robots.txt		(from )
15:44:48	33205/33205	---M--	200	added ('OK')	image/jpeg	etag:W/%2281b5-167406fa5b0%22	https://cellinfo.com/template_assets/images/200x200.jpg	C:/Cellinfo/Cellinfo/cellinfo.com/template_assets/images/200x200.jpg	(from https://cellinfo.com/)
15:44:49	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:W/%2247e-167406fa5b0%22	https://cellinfo.com/template_assets/images/favicon.ico	C:/Cellinfo/Cellinfo/cellinfo.com/template_assets/images/favicon.ico	(from https://cellinfo.com/)
15:44:49	117305/117305	---M-Z	200	added ('OK')	text/css	etag:%221544639647%22	http://maxcdn.bootstrapcdn.com/bootstrap/3.3.4/css/bootstrap.min.css	C:/Cellinfo/Cellinfo/maxcdn.bootstrapcdn.com/bootstrap/3.3.4/css/bootstrap.min.css	(from https://cellinfo.com/)
15:44:50	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Cellinfo/Cellinfo/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://cellinfo.com/)
15:44:51	2624/2624	---MCZ	200	added ('OK')	text/css	etag:W/%22a40-167406fa5b0%22	https://cellinfo.com/template_assets/plugins/videoPopup/videoPopup.css	C:/Cellinfo/Cellinfo/cellinfo.com/template_assets/plugins/videoPopup/videoPopup.css	(from https://cellinfo.com/)
15:44:52	3130/3130	---MCZ	200	added ('OK')	text/css	etag:W/%22c3a-167406fa5b0%22	https://cellinfo.com/template_assets/plugins/animateImg/demo.css	C:/Cellinfo/Cellinfo/cellinfo.com/template_assets/plugins/animateImg/demo.css	(from https://cellinfo.com/)
15:44:54	974/974	---MCZ	200	added ('OK')	text/css	etag:W/%223ce-167406fa5b0%22	https://cellinfo.com/template_assets/plugins/animateImg/demo-grid.css	C:/Cellinfo/Cellinfo/cellinfo.com/template_assets/plugins/animateImg/demo-grid.css	(from https://cellinfo.com/)
15:44:55	4028/4028	---MCZ	200	added ('OK')	text/css	etag:W/%22fbc-167406fa5b0%22	https://cellinfo.com/template_assets/plugins/owl/owl.carousel.css	C:/Cellinfo/Cellinfo/cellinfo.com/template_assets/plugins/owl/owl.carousel.css	(from https://cellinfo.com/)
15:44:55	1303/1303	---MCZ	200	added ('OK')	text/css	etag:W/%22517-167406fa5b0%22	https://cellinfo.com/template_assets/plugins/owl/owl.theme.default.css	C:/Cellinfo/Cellinfo/cellinfo.com/template_assets/plugins/owl/owl.theme.default.css	(from https://cellinfo.com/)
15:44:56	1242/1242	---MCZ	200	added ('OK')	text/css	etag:W/%224da-167406fa5b0%22	https://cellinfo.com/template_assets/plugins/map/map-style.css	C:/Cellinfo/Cellinfo/cellinfo.com/template_assets/plugins/map/map-style.css	(from https://cellinfo.com/)
15:44:57	31584/31584	---MCZ	200	added ('OK')	text/css	etag:W/%227b60-167406fa5b0%22	https://cellinfo.com/template_assets/css/custom.css	C:/Cellinfo/Cellinfo/cellinfo.com/template_assets/css/custom.css	(from https://cellinfo.com/)
15:44:57	6178/6178	---MCZ	200	added ('OK')	text/css	etag:W/%221822-167406fa5b0%22	https://cellinfo.com/template_assets/css/responsive.css	C:/Cellinfo/Cellinfo/cellinfo.com/template_assets/css/responsive.css	(from https://cellinfo.com/)
15:44:58	26492/26492	---MCZ	200	added ('OK')	text/css	etag:W/%22677c-167406fa5b0%22	https://cellinfo.com/template_assets/plugins/waypoints/animate.css	C:/Cellinfo/Cellinfo/cellinfo.com/template_assets/plugins/waypoints/animate.css	(from https://cellinfo.com/)
